unique_identifier,rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
nightlife1,3,20231205_21-46-17.524898,insect,0.82,1,0.1486,0.7654,0.2044,0.8612,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-17.524898_1_crop.jpg
nightlife1,3,20231205_21-46-17.603576,insect,0.8,2,0.5104,0.7629,0.5478,0.8246,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-17.603576_2_crop.jpg
nightlife1,3,20231205_21-46-18.654270,insect,0.8,1,0.1516,0.7624,0.2055,0.8563,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-18.654270_1_crop.jpg
nightlife1,3,20231205_21-46-18.667529,insect,0.82,2,0.5089,0.7573,0.5488,0.8289,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-18.667529_2_crop.jpg
nightlife1,3,20231205_21-46-18.670697,insect,0.55,3,0.4858,0.3157,0.506,0.3595,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-18.670697_3_crop.jpg
nightlife1,3,20231205_21-46-19.711545,insect,0.76,1,0.1331,0.7727,0.1926,0.8802,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-19.711545_1_crop.jpg
nightlife1,3,20231205_21-46-25.665712,insect,0.79,2,0.5051,0.7733,0.5534,0.8495,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-25.665712_2_crop.jpg
nightlife1,3,20231205_21-46-26.275547,insect,0.73,5,0.0593,0.3047,0.0832,0.345,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-26.275547_5_crop.jpg
nightlife1,3,20231205_21-46-26.280381,insect,0.56,6,0.6022,0.3149,0.6225,0.3537,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-26.280381_6_crop.jpg
nightlife1,3,20231205_21-46-27.314812,insect,0.62,1,0.1169,0.7908,0.188,0.9121,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-27.314812_1_crop.jpg
nightlife1,3,20231205_21-46-27.319006,insect,0.86,2,0.4947,0.7663,0.5648,0.897,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-27.319006_2_crop.jpg
nightlife1,3,20231205_21-46-27.322546,insect,0.68,5,0.0438,0.3005,0.0692,0.3393,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-27.322546_5_crop.jpg
nightlife1,3,20231205_21-46-27.325750,insect,0.74,6,0.6038,0.305,0.6291,0.3467,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-27.325750_6_crop.jpg
nightlife1,3,20231205_21-46-28.373615,insect,0.67,1,0.1148,0.7903,0.1855,0.9109,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-28.373615_1_crop.jpg
nightlife1,3,20231205_21-46-28.380991,insect,0.86,2,0.4945,0.7672,0.5657,0.8976,insect-detect/data/20231205/20231205_21-46/cropped/insect/20231205_21-46-28.380991_2_crop.jpg
