rec_ID,timestamp,label,confidence,track_ID,x_min,y_min,x_max,y_max,file_path
35,20231212_17-43-09.208466,insect,0.68,2,0.4584,0.4704,0.4833,0.5174,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-09.208466_2_crop.jpg
35,20231212_17-43-10.259970,insect,0.69,2,0.4513,0.469,0.4847,0.5237,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-10.259970_2_crop.jpg
35,20231212_17-43-10.261441,insect,0.6,4,0.4487,0.6304,0.4861,0.6864,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-10.261441_4_crop.jpg
35,20231212_17-43-10.262946,insect,0.78,6,0.4528,0.3039,0.485,0.3531,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-10.262946_6_crop.jpg
35,20231212_17-43-10.264422,insect,0.75,7,0.5149,0.4532,0.5676,0.5534,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-10.264422_7_crop.jpg
35,20231212_17-43-10.266536,insect,0.73,8,0.5069,0.6227,0.5678,0.7115,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-10.266536_8_crop.jpg
35,20231212_17-43-10.268991,insect,0.74,9,0.5547,0.48,0.6057,0.5623,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-10.268991_9_crop.jpg
35,20231212_17-43-10.274650,insect,0.65,10,0.5207,0.2923,0.5648,0.3901,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-10.274650_10_crop.jpg
35,20231212_17-43-11.297776,insect,0.74,2,0.4481,0.469,0.4854,0.5256,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-11.297776_2_crop.jpg
35,20231212_17-43-16.547651,insect,0.76,4,0.4469,0.6356,0.4835,0.696,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-16.547651_4_crop.jpg
35,20231212_17-43-16.548933,insect,0.81,6,0.45,0.2978,0.4852,0.3566,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-16.548933_6_crop.jpg
35,20231212_17-43-16.550140,insect,0.79,7,0.5164,0.4514,0.5676,0.5547,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-16.550140_7_crop.jpg
35,20231212_17-43-16.551625,insect,0.82,8,0.508,0.6246,0.5629,0.7166,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-16.551625_8_crop.jpg
35,20231212_17-43-16.555110,insect,0.79,9,0.5578,0.4842,0.6082,0.5629,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-16.555110_9_crop.jpg
35,20231212_17-43-16.556535,insect,0.68,10,0.5215,0.2866,0.5633,0.387,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-16.556535_10_crop.jpg
35,20231212_17-43-17.577905,insect,0.77,2,0.4469,0.4697,0.4866,0.526,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-17.577905_2_crop.jpg
35,20231212_17-43-17.580642,insect,0.78,4,0.4463,0.6372,0.4829,0.6968,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-17.580642_4_crop.jpg
35,20231212_17-43-19.211208,insect,0.81,6,0.4506,0.3007,0.4837,0.3523,insect-detect/data/20231212/20231212_17-43/cropped/insect/20231212_17-43-19.211208_6_crop.jpg
